"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Banana","Cultural Practices","Pit preparation,spacing and nutrient management of banana.","I suggest her to prepare a pit size of 30x30x30 cm and grow the banana suckers at the distance of 3 metre x 3 metre.For nutrient management I suggest her to apply 10 kg FYM per plant at plnting time.Apply 60 gram UREA,100gram SSP and 250 gram MOP at the time of planting.Apply 60 gram UREA after 2,4 and 6 months after planting at the base of the plant.","ARUNACHAL PRADESH","E SIANG","MEBO                                              ","2014-11-11 20:50:23.017"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING FOR CONTROL OF WILTING","RECOMMENDED HIM TO DRENCH THE SOIL WITH CAPTAF @ 2 GRAM PER LITRE OF WATER","ARUNACHAL PRADESH","E SIANG","SILLE – OYAN                                      ","2014-11-29 08:24:15.713"
